Expediente,Órgano contratante,Tipo organismo,Objeto del contrato,CPV,Importe (€),Estado,Fecha límite,Días restantes,Prioridad,Enlace expediente,Detectada el,Notas del agente,Revisado,Asignado a,Notas comerciales
26AS0130,Museo Nacional del Prado,Otro organismo público,Mantenimiento del sistema de control horario,50312600,10919,Resuelta,2026-06-01,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19655799,2026-09-17,Detectada por el texto del objeto,,,
E/055/26,Puertos del Estado,Otro organismo público,Sistema integral de gestión de recursos humanos para Puertos del Estado,72212450,267864,Abierta,2026-10-13,26,Alta,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20426512,2026-09-17,Encaje directo por código CPV,,,
55/2026,Diputado del Común,Otro organismo público,Sistema Integral de Gestión del Control Horario del personal,"35125200,48450000",22711,En evaluación,2026-07-23,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20000819,2026-09-17,Encaje directo por código CPV,,,
39/2026,Ayuntamiento de Chiclana de la Frontera,Ayuntamiento,Sistema informático para la gestión integral de personal,48000000,177870,Adjudicada,2026-08-03,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19979785,2026-09-17,Detectada por el texto del objeto,,,
136/2026,Ayuntamiento de Aliseda,Ayuntamiento,Asesoramiento y gestión laboral y fiscal,79631000,29040,Adjudicada,2026-07-30,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20010320,2026-09-17,Encaje directo por código CPV,,,
26/032,Ferrocarrils de la Generalitat Valenciana,Comunidad Autónoma,"Mantenimiento funcional de productos SAP, excepto nómina",72000000,118156,Resuelta,2026-06-25,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20417041,2026-09-17,Detectada por el texto del objeto,,,
1282/2025,Ayuntamiento de La Robla,Ayuntamiento,"Gestión de nóminas, contratos y asesoramiento laboral y fiscal",79000000,53961,En evaluación,2026-08-10,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20093508,2026-09-17,Detectada por el texto del objeto,,,
CP00207/2025,ASEPEYO,Otro organismo público,Contratación mixta suministro de software ERP,48451000,378730,Adjudicada,2026-05-27,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19579860,2026-09-17,Encaje directo por código CPV,,,
2026067218,Diputación de Pontevedra,Diputación,Asistencia letrada RRHH,79100000,484,Resuelta,,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20427138,2026-09-17,Detectada por el texto del objeto,,,
NS/2026/0000000391,Sociedad Mercantil Estatal de Gestión,Otro organismo público,"Suscripción, soporte y mantenimiento del programa de gestión de nóminas A3INNUVA",48000000,56513,Resuelta,2026-07-20,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20427165,2026-09-17,Detectada por el texto del objeto,,,
25/2026,Ayuntamiento de Benicarló,Ayuntamiento,"Continuidad, soporte y mantenimiento de plataforma económico-financiera y de RRHH, nómina y seguros sociales",72267000,876173,Abierta,2026-09-07,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20356527,2026-09-17,Detectada por el texto del objeto,,,
2026/S00042,Universidad de Valladolid,Universidad,Mantenimiento de la plataforma UXXI-Recursos Humanos,72267000,173471,Adjudicada,2026-09-03,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20415984,2026-09-17,Detectada por el texto del objeto,,,
T-SER 30.6/3.2026,Transportes Interurbanos de Tenerife,Empresa pública,Soporte funcional y técnico del sistema de gestión e información,72000000,136960,Adjudicada,2026-05-05,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19357560,2026-09-17,Detectada por el texto del objeto,,,
2.2.49/26,Gobierno de Cantabria,Comunidad Autónoma,Reposición parcial del sistema de control horario,35125200,30855,Abierta,2026-09-29,12,Alta,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20416361,2026-09-17,Encaje directo por código CPV,,,
260054,CNMC,Otro organismo público,Soporte y actualización de licencias del software de control de presencia y visitas EVALOS,72611000,104695,Resuelta,2026-08-03,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20338105,2026-09-17,Detectada por el texto del objeto,,,
2944/2026,Ayuntamiento de Alboraya,Ayuntamiento,"Actualización, soporte y mantenimiento de la aplicación de gestión de RRHH",72267100,42689,Resuelta,2026-07-15,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20287386,2026-09-17,Detectada por el texto del objeto,,,
31/2026,Mataderos Insulares de Gran Canaria,Otro organismo público,Servicio integral de control de horario del personal,35125200,21400,Resuelta,2026-08-05,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20106747,2026-09-17,Encaje directo por código CPV,,,
CT_RH-NOM-SE-2601,Correos Telecom,Otro organismo público,"Solución integral de gestión de recursos humanos, incluida elaboración de nómina","79631000,48450000",72600,Abierta,2026-10-12,25,Alta,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20416687,2026-09-17,Encaje directo por código CPV,,,
8319/2026,Ayuntamiento de Soria,Ayuntamiento,Soporte y mantenimiento de la aplicación de control de presencia,72267000,2606,Resuelta,2026-03-27,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20317574,2026-09-17,Detectada por el texto del objeto,,,
14/26,Autoridad Portuaria de Marín y Ría de Pontevedra,Autoridad portuaria,Implantación y mantenimiento de solución para la gestión integral de RRHH,72130000,280115,Abierta,2026-09-28,11,Media,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20416752,2026-09-17,Detectada por el texto del objeto,,,
229/2026,Mancomunidad Intermunicipal Alto Palancia,Mancomunidad,Sistema integral y centralizado de control horario y gestión de presencia,35125200,13100,Abierta,2026-09-29,12,Alta,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20416832,2026-09-17,Encaje directo por código CPV,,,
IN0072/2026,Instituto de Salud Carlos III,Sanidad,"Licencias, hardware y mantenimiento para el control horario (NETTIME)",35125200,21309,Adjudicada,2026-07-06,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20417049,2026-09-17,Encaje directo por código CPV,,,
T26009601,TUSSAM (Sevilla),Otro organismo público,"Migración, desarrollo y mantenimiento del portal del empleado",72262000,134927,En evaluación,2026-03-25,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19207359,2026-09-17,Detectada por el texto del objeto,,,
16-26 AA,Servicios para la Salud y Seguridad en Canarias,Sanidad,Licencias de uso de plataforma RRHH y gestión de nóminas y contratación,48443000,421580,Abierta,2026-10-13,26,Media,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20417389,2026-09-17,Detectada por el texto del objeto,,,
CB-SS 02/2026,Consorcio Provincial de Prevención y Extinción,Consorcio,Plataforma de gestión integral de RRHH y gestión tributaria,48450000,131161,Adjudicada,2026-07-07,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19910870,2026-09-17,Encaje directo por código CPV,,,
2026/035260,Radiotelevisión de Castilla-La Mancha,Otro organismo público,Software Control Horario,48450000,30250,En evaluación,2026-08-31,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20078071,2026-09-17,Encaje directo por código CPV,,,
2026/22706/029,Agencia Española de Medicamentos,Comunidad Autónoma,Soporte y mantenimiento del sistema NEDAES para la gestión de nóminas,79211110,41256,En evaluación,2026-08-17,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20233415,2026-09-17,Detectada por el texto del objeto,,,
35/2026 SV PA,Diputación de Cáceres,Diputación,Consultoría estratégica y asistencia técnica,71317210,72600,Abierta,2026-09-03,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20297327,2026-09-17,Detectada por el texto del objeto,,,
ITVA/2026/139,ITVASA (Asturias),Otro organismo público,"Gestión externalizada de nóminas y RRHH, portal del empleado y control de presencia",48450000,178354,Resuelta,2026-07-07,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19910824,2026-09-17,Encaje directo por código CPV,,,
SDA/2026/SPTD0/0005,Sociedad de Proyectos para la Transformación Digital,Otro organismo público,Licencias y mantenimiento de Sage 200c para gestión integral,30200000,8616,Resuelta,2026-09-07,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20417862,2026-09-17,Detectada por el texto del objeto,,,
CONTR 2026/6157,Consejería de Educación y Universidades,Universidad,Mejora de los programas de nóminas del personal docente,72000000,1010112,En evaluación,2026-07-06,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19829958,2026-09-17,Detectada por el texto del objeto,,,
3441/2025,Ayuntamiento de L'Alcora,Ayuntamiento,Control horario del personal,51213000,7000,Resuelta,2025-07-04,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/17501821,2026-09-17,Detectada por el texto del objeto,,,
2026/7015,Gerencia de Informática de la Seguridad Social,Otro organismo público,Mantenimiento de equipos de control de presencia,50312600,203802,Abierta,2026-09-07,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19829953,2026-09-17,Detectada por el texto del objeto,,,
2026/3120014825/205,Fundación Estatal para la Formación en el Empleo,Fundación,Mantenimiento y desarrollo del producto de Gestión de RRHH Meta4 E-mind,72600000,49713,Resuelta,2026-07-03,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20255855,2026-09-17,Detectada por el texto del objeto,,,
CEA3845/2026,Racionalización y Centralización de la Contratación,Otro organismo público,"Soporte de infraestructura, consultoría, análisis y desarrollo",72000000,66726,Resuelta,,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20418208,2026-09-17,Detectada por el texto del objeto,,,
A01_2026,Gestión de Emergencias de las Illes Balears,Otro organismo público,Implantación y mantenimiento de software de gestión de RRHH,72200000,52381,En evaluación,2026-06-17,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19746549,2026-09-17,Detectada por el texto del objeto,,,
3067/2025,Ayuntamiento de Cenes de la Vega,Ayuntamiento,"Migración, actualización y mantenimiento de la plataforma integrada de gestión de personal",72267000,18737,En evaluación,2026-07-22,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19994034,2026-09-17,Detectada por el texto del objeto,,,
2025/3120014168/186,Fundación Estatal para la Formación en el Empleo,Fundación,Gestión de nóminas y procesos relacionados con su cálculo,79631000,300080,Adjudicada,2025-07-08,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/17438716,2026-09-17,Encaje directo por código CPV,,,
1739/2026,Ayuntamiento de Alcalà de Xivert,Ayuntamiento,"Suscripción, mantenimiento y soporte de la aplicación de gestión de RRHH",72267000,18600,Resuelta,2026-07-20,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20379291,2026-09-17,Detectada por el texto del objeto,,,
2026/00045,Universidad de Córdoba,Universidad,Mantenimiento UXXI incluido Recursos Humanos,72000000,469631,Resuelta,2026-06-16,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19994680,2026-09-17,Detectada por el texto del objeto,,,
LICT/99/031/2024/0068,FREMAP,Otro organismo público,"Adquisición, implantación y soporte técnico de un sistema de gestión de RRHH",72222300,5795900,Resuelta,2024-09-19,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/15528441,2026-09-17,Detectada por el texto del objeto,,,
FFIS/2026/1 BIS,Fundación Formación e Investigación Sanitarias Murcia,Sanidad,Soporte y actualización de la aplicación de gestión integral de RRHH,50324100,4850,Resuelta,2026-05-25,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19763013,2026-09-17,Detectada por el texto del objeto,,,
8350/2026,Ayuntamiento de Moguer,Ayuntamiento,"Mantenimiento, soporte y actualización de la aplicación de gestión y control de presencia",72267000,4574,Resuelta,2026-08-26,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20363371,2026-09-17,Detectada por el texto del objeto,,,
325/26,Diputación de Badajoz,Diputación,"Software de gestión de nóminas, RPT y control horario en entidades locales",48450000,529980,En evaluación,2026-08-10,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19900703,2026-09-17,Encaje directo por código CPV,,,
11418/2026,Diputación de Segovia,Diputación,Aplicación para la gestión de turnos y control de fichaje en centros residenciales,48450000,19844,En evaluación,2026-08-28,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20287536,2026-09-17,Encaje directo por código CPV,,,
SE13826002451,Universidad de Castilla-La Mancha,Universidad,Soporte técnico sobre la plataforma de control horario,72611000,4356,Resuelta,2026-06-15,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19779423,2026-09-17,Detectada por el texto del objeto,,,
14/26 VO,Ayuntamiento de Villaviciosa de Odón,Ayuntamiento,Implantación del Portal del Empleado y Control de Presencia en SaaS,"35125200,48450000",44856,Resuelta,2026-06-05,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19732188,2026-09-17,Encaje directo por código CPV,,,
1170/2026,Ayuntamiento de Ames,Ayuntamiento,Sistema de Control de Presencia del personal municipal,35125200,93562,En evaluación,2026-06-10,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19799174,2026-09-17,Encaje directo por código CPV,,,
C.02.C.25,Instituto Municipal de Vivienda de Fuenlabrada,Otro organismo público,"Asesoría y gestión laboral, contable y fiscal",79631000,24636,En evaluación,2025-09-09,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/17768935,2026-09-17,Encaje directo por código CPV,,,
EMVI/2026/0036/01,EMVISESA (Sevilla),Otro organismo público,Consultoría y asistencia a RRHH en procesos de selección,79414000,36075,Resuelta,2026-07-12,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19910567,2026-09-17,Detectada por el texto del objeto,,,
CMAYOR/2026/HLAFE/0012,Fundación Investigación Hospital La Fe,Sanidad,Servicios de gestoría laboral,79631000,34485,Resuelta,2026-06-26,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19854636,2026-09-17,Encaje directo por código CPV,,,
25/037/3AM,Empresa Municipal de Transportes de Madrid,Empresa pública,"Acuerdo marco de consultoría financiera, estrategia y gestión de proyectos",48451000,784458,Resuelta,2026-03-12,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19017429,2026-09-17,Encaje directo por código CPV,,,
7346/2023-C20/26,Ayuntamiento de Petrer,Ayuntamiento,Solución informática integral de Recursos Humanos en modalidad Cloud,48450000,273170,Abierta,2026-08-31,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20098319,2026-09-17,Encaje directo por código CPV,,,
LIC-2025-SER001,Fundación Canaria Puertos de Las Palmas,Fundación,"Asesoramiento y gestión externa en las áreas laboral, fiscal y contable",79631000,63177,Adjudicada,2026-04-27,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19430003,2026-09-17,Encaje directo por código CPV,,,
EXP-02565.1,ENUSA Industrias Avanzadas,Otro organismo público,Renovación del software de gestión de turnos,48451000,11326,Adjudicada,2026-07-10,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20367676,2026-09-17,Encaje directo por código CPV,,,
CP00006/2026,ASEPEYO,Otro organismo público,Implantación y mantenimiento de sistema de gestión de nómina y control de presencia,79211110,753588,En evaluación,2026-07-23,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19871884,2026-09-17,Detectada por el texto del objeto,,,
52/2026,Ayuntamiento de Ávila,Ayuntamiento,"Suministro, implantación e integración con los sistemas corporativos municipales","72212450,48450000",230000,En evaluación,2026-08-18,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20060656,2026-09-17,Encaje directo por código CPV,,,
59/2023,Ayuntamiento de Majadahonda,Ayuntamiento,"Soporte y mantenimiento de WCRONOS, control de presencia",72267100,8015,Resuelta,2024-01-23,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/14092883,2026-09-17,Detectada por el texto del objeto,,,
7332/2025,Gerencia Municipal de Urbanismo,Otro organismo público,Gestión de nóminas y boletines de cotización a la Seguridad Social,79631000,47004,En evaluación,2026-02-11,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/18917030,2026-09-17,Encaje directo por código CPV,,,
878/2026,Ayuntamiento de Osuna,Ayuntamiento,Sistema de control y registro de jornada laboral,51213000,13431,En evaluación,2026-08-21,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20262261,2026-09-17,Detectada por el texto del objeto,,,
04101/2025/249-SER,Ajuntament de València,Ayuntamiento,Mantenimiento y soporte de los sistemas corporativos de gestión,72000000,24644118,Resuelta,2026-04-06,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19198106,2026-09-17,Detectada por el texto del objeto,,,
2025-00309,Autoridad Portuaria,Autoridad portuaria,"Licencias e implantación de plataforma de administración de RRHH, nómina y gestión",48450000,1223321,Resuelta,2026-04-07,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19087009,2026-09-17,Encaje directo por código CPV,,,
2025/00015978N,Consell Insular d'Eivissa,Otro organismo público,Implantación y mantenimiento de nuevo sistema de gestión de RRHH,50312000,404140,Resuelta,2025-12-29,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/18458546,2026-09-17,Detectada por el texto del objeto,,,
2026-074,Autoridad Portuaria de la Bahía de Algeciras,Autoridad portuaria,Despliegue y mantenimiento de una Suite de RRHH,72600000,137940,Abierta,2026-10-01,14,Media,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20365604,2026-09-17,Detectada por el texto del objeto,,,
PASA/04/2025,Fundación Insular Formación y Empleo,Fundación,Servicio Integral de Control de Horarios del personal,35125200,3000,Resuelta,2025-10-13,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/18055612,2026-09-17,Encaje directo por código CPV,,,
34/2026,Ayuntamiento de Páramo del Sil,Ayuntamiento,Gestoría laboral para elaboración de nóminas y seguros sociales,79631000,21780,Resuelta,2026-07-13,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19949514,2026-09-17,Encaje directo por código CPV,,,
743/2026,Ayuntamiento de Collado Mediano,Ayuntamiento,Programa informático para el control del horario y presencia,"35125200,48450000",5094,Adjudicada,2026-05-15,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19596029,2026-09-17,Encaje directo por código CPV,,,
23/2026 SARHA/SERV,Fundación Atención y Apoyo a la Dependencia,Fundación,Asesoramiento y gestión en materia laboral y de Seguridad Social,79631000,156119,Adjudicada,2026-07-08,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19853898,2026-09-17,Encaje directo por código CPV,,,
2026/CTT_01/000105,Ayuntamiento de Marchena,Ayuntamiento,Sistema de control de horario,72212450,15125,Abierta,2026-09-14,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20361204,2026-09-17,Encaje directo por código CPV,,,
2025077417,Diputación de Pontevedra,Diputación,Acuerdo marco de software de gestión de control de presencia para entidades locales,35125200,3344217,En evaluación,2026-07-24,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19931380,2026-09-17,Encaje directo por código CPV,,,
2026/6449E,Ayuntamiento de Marratxí,Ayuntamiento,"Aplicación de nóminas A3Nom, instalación, configuración y migración",48000000,28870,Resuelta,2026-07-07,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19900500,2026-09-17,Detectada por el texto del objeto,,,
284/2026,Ayuntamiento de Culla,Ayuntamiento,"Implantación, licencia de uso y puesta a disposición de control horario","35125200,48450000",600,En evaluación,2026-08-17,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20139955,2026-09-17,Encaje directo por código CPV,,,
PSS/2026/0000085492,"Consejería de Economía, Empleo y Transformación Digital",Comunidad Autónoma,"Mantenimiento, evolución y gestión del ciclo de nómina y migración de datos",72222300,3148022,Abierta,2026-09-25,8,Media,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20232624,2026-09-17,Detectada por el texto del objeto,,,
18529/2026,Ayuntamiento de Puertollano,Ayuntamiento,"Suministro e implantación (instalación, formación, migración)",72267000,465088,En evaluación,2026-09-04,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20350140,2026-09-17,Detectada por el texto del objeto,,,
840/2026,Ayuntamiento de El Tanque,Ayuntamiento,Programa de control integral para la gestión de horarios del personal,"35125200,48450000",2628,En evaluación,2026-07-29,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20060220,2026-09-17,Encaje directo por código CPV,,,
SU3969/2026,Cabildo (Área Insular de Hacienda y RRHH),Otro organismo público,Sistema integral de control horario del personal,35125200,74768,Resuelta,2026-04-09,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19338305,2026-09-17,Encaje directo por código CPV,,,
62/2026,Consorcio IFMIF-DONES España,Consorcio,"Asesoramiento y gestión integral laboral, fiscal y económico-financiera",79631000,99825,En evaluación,2026-07-23,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19979699,2026-09-17,Encaje directo por código CPV,,,
06/2026 NEG SG/DS,CDTI,Otro organismo público,Aplicación para la gestión de nómina y recursos humanos,48450000,573787,Resuelta,2026-06-29,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20040797,2026-09-17,Encaje directo por código CPV,,,
SUM-26-0283-PA,umivale Activa,Otro organismo público,"Migración a la nube, soporte y mantenimiento evolutivo",48000000,295119,Abierta,2026-09-25,8,Media,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20344575,2026-09-17,Detectada por el texto del objeto,,,
2026000067B,Ayuntamiento de San Sebastián de la Gomera,Ayuntamiento,Asesoramiento laboral y gestión de nóminas,79211110,36915,En evaluación,2026-05-15,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19596107,2026-09-17,Detectada por el texto del objeto,,,
ABR-2026000021,Ayuntamiento de Torre Pacheco,Ayuntamiento,Software y sistema integral para la gestión de RR.HH.,72267100,46958,Resuelta,2026-06-12,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19772645,2026-09-17,Detectada por el texto del objeto,,,
2026/00012504F,Ayuntamiento de Vila-real,Ayuntamiento,Programa de gestión integral de los recursos humanos en modalidad SaaS,48000000,250731,En evaluación,2026-08-12,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20138982,2026-09-17,Detectada por el texto del objeto,,,
7366/2026,Fundación Promoción del Empleo y la Formación,Fundación,Asesoramiento y gestión laboral del personal de Programas de Formación,79631000,51173,Resuelta,2026-08-17,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20232665,2026-09-17,Encaje directo por código CPV,,,
46/2026,Consorcio de la Zona Franca de Barcelona,Consorcio,"Implantación, licenciamiento SaaS y soporte de una solución",72263000,136609,Adjudicada,2026-07-27,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20026488,2026-09-17,Detectada por el texto del objeto,,,
Z09ASI2004,Consejería de Educación (Canarias),Comunidad Autónoma,Mantenimiento del sistema integrado de gestión de personal docente (Puntal),72267100,1858843,Adjudicada,2026-05-28,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19596676,2026-09-17,Detectada por el texto del objeto,,,
E2024-002,Grupo Energético de Puerto Real,Otro organismo público,Gestoría laboral mediante sistema de información integral,79631000,108392,Resuelta,2024-07-18,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/15149761,2026-09-17,Encaje directo por código CPV,,,
A2026/012442,Consejería de Educación de Castilla y León,Comunidad Autónoma,Asistencia técnica para servicios de gestión de personal,72267000,546374,Abierta,2026-09-21,4,Media,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20329497,2026-09-17,Detectada por el texto del objeto,,,
2877138A,Ayuntamiento de Albaida,Ayuntamiento,"Implantación, puesta en marcha, soporte y mantenimiento de sistema de gestión integral",72500000,87689,En evaluación,2026-08-13,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20150871,2026-09-17,Detectada por el texto del objeto,,,
